season,drugname,drugcost,alternatedrug,alternatedrugcost,no_of_customer_using_drug,no_of_customer_using_alternate_drug,Year,Month,YearMonth
Summer,Amoxicillin,404,Azithromycin,435,470,131,2021,11,2021-11
Winter,Metformin,193,Glimepiride,234,204,179,2014,3,2014-03
Autumn,Omeprazole,253,Pantoprazole,275,355,166,2012,4,2012-04
Winter,Metformin,466,Glimepiride,511,198,510,2015,3,2015-03
Spring,Omeprazole,434,Pantoprazole,404,613,793,2017,11,2017-11
Summer,Insulin,420,Glipizide,384,571,222,2013,9,2013-09
Monsoon,Insulin,214,Glipizide,238,100,126,2023,12,2023-12
Winter,Levothyroxine,119,Liothyronine,71,284,109,2024,3,2024-03
Monsoon,Atorvastatin,299,Rosuvastatin,349,576,430,2015,3,2015-03
Winter,Insulin,222,Glipizide,261,576,573,2021,5,2021-05
Spring,Metformin,246,Glimepiride,282,651,596,2014,11,2014-11
Monsoon,Losartan,78,Telmisartan,56,182,350,2014,12,2014-12
Summer,Salbutamol,375,Terbutaline,348,149,346,2011,5,2011-05
Winter,Levothyroxine,282,Liothyronine,270,657,99,2015,9,2015-09
Spring,Losartan,359,Telmisartan,309,151,498,2013,1,2013-01
Winter,Paracetamol,263,Ibuprofen,287,679,513,2015,5,2015-05
Spring,Insulin,57,Glipizide,88,369,617,2022,4,2022-04
Spring,Losartan,338,Telmisartan,348,504,765,2017,6,2017-06
Autumn,Cetirizine,161,Loratadine,191,583,203,2016,3,2016-03
Monsoon,Atorvastatin,347,Rosuvastatin,389,765,87,2016,12,2016-12
Monsoon,Paracetamol,260,Ibuprofen,280,554,675,2010,1,2010-01
Summer,Metformin,220,Glimepiride,211,622,698,2018,11,2018-11
Autumn,Paracetamol,437,Ibuprofen,451,563,594,2013,9,2013-09
Autumn,Paracetamol,286,Ibuprofen,316,137,596,2013,4,2013-04
Spring,Cetirizine,51,Loratadine,33,193,679,2014,8,2014-08
Winter,Insulin,358,Glipizide,311,624,465,2014,5,2014-05
Monsoon,Cetirizine,385,Loratadine,370,425,119,2014,6,2014-06
Autumn,Cetirizine,87,Loratadine,114,701,356,2010,6,2010-06
Summer,Paracetamol,297,Ibuprofen,328,187,168,2017,10,2017-10
Spring,Metformin,75,Glimepiride,32,656,125,2021,4,2021-04
Spring,Omeprazole,76,Pantoprazole,58,215,291,2014,3,2014-03
Winter,Losartan,478,Telmisartan,483,329,74,2017,9,2017-09
Monsoon,Paracetamol,53,Ibuprofen,22,112,67,2014,11,2014-11
Monsoon,Amoxicillin,58,Azithromycin,53,368,270,2020,6,2020-06
Spring,Metformin,323,Glimepiride,369,455,697,2019,6,2019-06
Summer,Omeprazole,183,Pantoprazole,168,947,750,2021,2,2021-02
Autumn,Levothyroxine,225,Liothyronine,260,879,256,2012,9,2012-09
Monsoon,Insulin,436,Glipizide,394,559,747,2024,3,2024-03
Winter,Omeprazole,364,Pantoprazole,377,448,784,2022,7,2022-07
Summer,Amoxicillin,124,Azithromycin,110,957,557,2014,8,2014-08
Monsoon,Levothyroxine,136,Liothyronine,87,986,548,2021,1,2021-01
Autumn,Insulin,141,Glipizide,169,638,761,2012,6,2012-06
Spring,Cetirizine,110,Loratadine,133,285,512,2023,5,2023-05
Summer,Omeprazole,194,Pantoprazole,220,795,662,2013,7,2013-07
Summer,Atorvastatin,156,Rosuvastatin,193,664,325,2023,11,2023-11
Monsoon,Salbutamol,95,Terbutaline,122,334,325,2011,4,2011-04
Monsoon,Paracetamol,232,Ibuprofen,277,882,603,2018,7,2018-07
Monsoon,Levothyroxine,472,Liothyronine,430,549,52,2015,5,2015-05
Monsoon,Salbutamol,419,Terbutaline,465,811,63,2016,8,2016-08
Spring,Amoxicillin,212,Azithromycin,180,245,316,2021,7,2021-07
Summer,Losartan,324,Telmisartan,305,979,463,2020,2,2020-02
Winter,Omeprazole,414,Pantoprazole,407,484,705,2017,4,2017-04
Autumn,Salbutamol,451,Terbutaline,410,906,400,2024,6,2024-06
Winter,Insulin,426,Glipizide,433,297,75,2023,11,2023-11
Winter,Losartan,494,Telmisartan,527,223,710,2017,9,2017-09
Summer,Amoxicillin,220,Azithromycin,197,679,543,2010,4,2010-04
Autumn,Omeprazole,415,Pantoprazole,465,262,631,2019,4,2019-04
Autumn,Metformin,51,Glimepiride,87,671,675,2015,10,2015-10
Monsoon,Paracetamol,398,Ibuprofen,376,690,797,2010,2,2010-02
Monsoon,Salbutamol,247,Terbutaline,201,255,557,2021,2,2021-02
Winter,Salbutamol,408,Terbutaline,421,875,63,2019,2,2019-02
Winter,Insulin,66,Glipizide,82,887,188,2015,6,2015-06
Winter,Losartan,201,Telmisartan,229,693,443,2021,5,2021-05
Spring,Amoxicillin,289,Azithromycin,271,902,795,2023,1,2023-01
Winter,Amoxicillin,93,Azithromycin,101,439,142,2013,2,2013-02
Winter,Levothyroxine,451,Liothyronine,402,710,208,2024,5,2024-05
Winter,Atorvastatin,218,Rosuvastatin,180,314,762,2011,11,2011-11
Winter,Insulin,375,Glipizide,348,970,114,2012,7,2012-07
Spring,Losartan,250,Telmisartan,296,502,102,2023,5,2023-05
Summer,Amoxicillin,178,Azithromycin,220,598,388,2020,7,2020-07
Spring,Omeprazole,304,Pantoprazole,345,858,762,2024,7,2024-07
Spring,Amoxicillin,425,Azithromycin,450,773,649,2022,12,2022-12
Spring,Atorvastatin,283,Rosuvastatin,265,223,701,2021,8,2021-08
Spring,Atorvastatin,269,Rosuvastatin,296,346,634,2018,6,2018-06
Winter,Insulin,402,Glipizide,417,773,762,2018,2,2018-02
Spring,Salbutamol,495,Terbutaline,481,176,530,2011,11,2011-11
Summer,Amoxicillin,141,Azithromycin,111,641,180,2022,4,2022-04
Autumn,Cetirizine,78,Loratadine,94,629,465,2022,12,2022-12
Autumn,Cetirizine,65,Loratadine,79,180,300,2013,3,2013-03
Spring,Levothyroxine,113,Liothyronine,147,614,574,2023,12,2023-12
Spring,Levothyroxine,497,Liothyronine,459,557,590,2015,10,2015-10
Winter,Metformin,126,Glimepiride,142,136,531,2021,9,2021-09
Spring,Levothyroxine,62,Liothyronine,81,557,428,2024,2,2024-02
Autumn,Salbutamol,134,Terbutaline,116,933,261,2019,4,2019-04
Winter,Metformin,302,Glimepiride,342,224,427,2010,8,2010-08
Monsoon,Omeprazole,95,Pantoprazole,51,622,463,2013,3,2013-03
Autumn,Levothyroxine,417,Liothyronine,387,869,307,2017,8,2017-08
Spring,Cetirizine,57,Loratadine,64,955,293,2011,11,2011-11
Monsoon,Atorvastatin,151,Rosuvastatin,117,391,216,2024,3,2024-03
Monsoon,Levothyroxine,442,Liothyronine,436,346,261,2019,7,2019-07
Winter,Atorvastatin,491,Rosuvastatin,467,864,463,2020,3,2020-03
Winter,Cetirizine,116,Loratadine,99,645,437,2023,9,2023-09
Monsoon,Salbutamol,71,Terbutaline,78,912,725,2015,4,2015-04
Summer,Cetirizine,140,Loratadine,165,925,764,2022,1,2022-01
Winter,Amoxicillin,131,Azithromycin,95,168,237,2018,1,2018-01
Autumn,Paracetamol,467,Ibuprofen,458,659,458,2020,10,2020-10
Spring,Cetirizine,208,Loratadine,258,393,232,2016,12,2016-12
Spring,Insulin,489,Glipizide,447,124,515,2017,10,2017-10
Summer,Insulin,89,Glipizide,69,378,393,2019,6,2019-06
Autumn,Losartan,492,Telmisartan,507,568,427,2011,6,2011-06
Monsoon,Atorvastatin,310,Rosuvastatin,344,116,57,2014,10,2014-10
Spring,Paracetamol,357,Ibuprofen,351,329,346,2018,8,2018-08
Summer,Salbutamol,141,Terbutaline,150,105,369,2010,9,2010-09
Winter,Atorvastatin,150,Rosuvastatin,110,381,178,2015,4,2015-04
Monsoon,Salbutamol,72,Terbutaline,22,359,330,2019,10,2019-10
Monsoon,Insulin,231,Glipizide,269,424,593,2020,7,2020-07
Winter,Insulin,389,Glipizide,369,316,224,2011,4,2011-04
Monsoon,Amoxicillin,179,Azithromycin,203,783,60,2014,9,2014-09
Autumn,Amoxicillin,191,Azithromycin,235,816,783,2014,6,2014-06
Monsoon,Levothyroxine,484,Liothyronine,522,688,688,2012,7,2012-07
Monsoon,Cetirizine,371,Loratadine,410,443,523,2019,8,2019-08
Winter,Levothyroxine,367,Liothyronine,378,740,507,2022,2,2022-02
Winter,Salbutamol,405,Terbutaline,414,334,442,2011,1,2011-01
Autumn,Amoxicillin,455,Azithromycin,489,510,654,2018,9,2018-09
Winter,Insulin,356,Glipizide,364,303,584,2020,12,2020-12
Spring,Insulin,140,Glipizide,183,372,615,2015,12,2015-12
Summer,Atorvastatin,57,Rosuvastatin,74,859,170,2019,12,2019-12
Spring,Levothyroxine,149,Liothyronine,179,688,54,2013,8,2013-08
Spring,Atorvastatin,360,Rosuvastatin,372,485,613,2013,3,2013-03
Winter,Metformin,185,Glimepiride,140,703,727,2019,7,2019-07
Autumn,Atorvastatin,499,Rosuvastatin,543,616,375,2011,9,2011-09
Winter,Levothyroxine,77,Liothyronine,50,701,172,2020,5,2020-05
Monsoon,Cetirizine,241,Loratadine,215,795,305,2019,5,2019-05
Autumn,Salbutamol,171,Terbutaline,122,394,759,2022,4,2022-04
Winter,Atorvastatin,281,Rosuvastatin,249,466,727,2021,2,2021-02
Summer,Cetirizine,344,Loratadine,296,565,61,2019,5,2019-05
Summer,Amoxicillin,456,Azithromycin,427,595,710,2024,5,2024-05
Monsoon,Metformin,184,Glimepiride,229,345,579,2019,12,2019-12
Spring,Losartan,210,Telmisartan,198,357,246,2024,10,2024-10
Winter,Omeprazole,98,Pantoprazole,69,390,308,2014,12,2014-12
Winter,Amoxicillin,187,Azithromycin,171,646,177,2024,9,2024-09
Winter,Cetirizine,407,Loratadine,416,460,480,2018,7,2018-07
Monsoon,Paracetamol,129,Ibuprofen,149,736,734,2015,7,2015-07
Autumn,Paracetamol,439,Ibuprofen,477,395,76,2021,12,2021-12
Summer,Metformin,341,Glimepiride,304,516,197,2022,4,2022-04
Summer,Amoxicillin,304,Azithromycin,298,205,463,2013,8,2013-08
Spring,Insulin,85,Glipizide,102,724,452,2020,2,2020-02
Spring,Insulin,233,Glipizide,283,135,741,2014,6,2014-06
Autumn,Insulin,230,Glipizide,270,186,412,2017,10,2017-10
Winter,Insulin,231,Glipizide,185,655,112,2012,12,2012-12
Autumn,Paracetamol,441,Ibuprofen,434,968,543,2021,1,2021-01
Winter,Amoxicillin,300,Azithromycin,263,330,73,2016,3,2016-03
Monsoon,Paracetamol,81,Ibuprofen,51,536,752,2018,4,2018-04
Autumn,Cetirizine,122,Loratadine,170,309,678,2014,3,2014-03
Autumn,Cetirizine,414,Loratadine,398,279,775,2017,2,2017-02
Monsoon,Paracetamol,478,Ibuprofen,440,756,728,2017,2,2017-02
Summer,Atorvastatin,377,Rosuvastatin,342,227,719,2014,7,2014-07
Spring,Salbutamol,129,Terbutaline,122,433,195,2010,4,2010-04
Winter,Paracetamol,167,Ibuprofen,174,980,388,2019,4,2019-04
Winter,Atorvastatin,357,Rosuvastatin,368,691,569,2024,3,2024-03
Summer,Atorvastatin,426,Rosuvastatin,390,689,298,2010,8,2010-08
Spring,Insulin,169,Glipizide,129,875,529,2010,6,2010-06
Spring,Salbutamol,222,Terbutaline,214,211,456,2023,10,2023-10
Monsoon,Omeprazole,480,Pantoprazole,505,129,76,2014,10,2014-10
Autumn,Cetirizine,470,Loratadine,420,517,160,2016,2,2016-02
Winter,Amoxicillin,373,Azithromycin,423,450,469,2019,6,2019-06
Summer,Amoxicillin,481,Azithromycin,467,157,322,2015,10,2015-10
Spring,Losartan,429,Telmisartan,412,587,541,2019,12,2019-12
Summer,Amoxicillin,384,Azithromycin,338,877,82,2016,3,2016-03
Autumn,Salbutamol,264,Terbutaline,223,492,483,2020,6,2020-06
Autumn,Paracetamol,408,Ibuprofen,381,614,158,2018,5,2018-05
Spring,Insulin,202,Glipizide,163,860,674,2018,10,2018-10
Monsoon,Metformin,141,Glimepiride,109,568,443,2016,2,2016-02
Spring,Paracetamol,161,Ibuprofen,133,161,682,2010,12,2010-12
Autumn,Paracetamol,278,Ibuprofen,228,993,99,2024,10,2024-10
Autumn,Paracetamol,70,Ibuprofen,108,412,391,2021,11,2021-11
Winter,Cetirizine,305,Loratadine,283,865,419,2019,7,2019-07
Autumn,Atorvastatin,330,Rosuvastatin,379,652,231,2021,8,2021-08
Winter,Salbutamol,144,Terbutaline,193,925,119,2023,12,2023-12
Summer,Metformin,93,Glimepiride,109,502,436,2016,2,2016-02
Monsoon,Salbutamol,146,Terbutaline,172,313,654,2015,5,2015-05
Winter,Salbutamol,323,Terbutaline,353,219,63,2010,12,2010-12
Winter,Atorvastatin,444,Rosuvastatin,479,532,72,2015,12,2015-12
Spring,Paracetamol,477,Ibuprofen,463,650,632,2020,5,2020-05
Winter,Levothyroxine,433,Liothyronine,474,366,112,2013,4,2013-04
Winter,Insulin,305,Glipizide,327,531,172,2024,9,2024-09
Summer,Salbutamol,346,Terbutaline,388,252,637,2016,11,2016-11
Monsoon,Insulin,144,Glipizide,105,366,677,2022,4,2022-04
Winter,Amoxicillin,491,Azithromycin,448,653,440,2020,4,2020-04
Winter,Amoxicillin,128,Azithromycin,80,532,660,2016,2,2016-02
Summer,Levothyroxine,386,Liothyronine,349,719,217,2014,5,2014-05
Summer,Omeprazole,281,Pantoprazole,308,658,313,2014,7,2014-07
Summer,Insulin,108,Glipizide,155,327,52,2023,11,2023-11
Autumn,Paracetamol,160,Ibuprofen,135,251,143,2015,5,2015-05
Summer,Insulin,198,Glipizide,157,782,200,2015,8,2015-08
Monsoon,Salbutamol,380,Terbutaline,339,978,147,2014,3,2014-03
Spring,Paracetamol,304,Ibuprofen,328,949,612,2018,12,2018-12
Autumn,Salbutamol,126,Terbutaline,91,861,193,2014,4,2014-04
Summer,Paracetamol,208,Ibuprofen,224,937,453,2017,10,2017-10
Spring,Levothyroxine,427,Liothyronine,395,419,221,2023,2,2023-02
Autumn,Salbutamol,246,Terbutaline,225,726,489,2012,5,2012-05
Summer,Omeprazole,117,Pantoprazole,158,530,424,2024,12,2024-12
Winter,Losartan,422,Telmisartan,471,299,767,2022,1,2022-01
Summer,Atorvastatin,266,Rosuvastatin,282,864,313,2017,11,2017-11
Monsoon,Atorvastatin,334,Rosuvastatin,360,815,249,2023,2,2023-02
Monsoon,Salbutamol,372,Terbutaline,404,396,538,2020,3,2020-03
Spring,Cetirizine,360,Loratadine,391,605,360,2019,7,2019-07
Spring,Atorvastatin,327,Rosuvastatin,353,972,433,2019,9,2019-09
Monsoon,Insulin,294,Glipizide,271,428,342,2015,4,2015-04
Autumn,Cetirizine,397,Loratadine,444,803,358,2018,3,2018-03
Spring,Levothyroxine,96,Liothyronine,79,604,271,2019,10,2019-10
Spring,Salbutamol,500,Terbutaline,510,288,316,2017,1,2017-01
Spring,Levothyroxine,271,Liothyronine,241,608,80,2011,5,2011-05
Summer,Metformin,264,Glimepiride,294,881,757,2021,11,2021-11
Monsoon,Amoxicillin,426,Azithromycin,406,404,83,2010,1,2010-01
Winter,Atorvastatin,93,Rosuvastatin,115,165,400,2024,8,2024-08
Summer,Amoxicillin,361,Azithromycin,322,846,300,2013,1,2013-01
Winter,Atorvastatin,422,Rosuvastatin,431,324,529,2018,11,2018-11
Autumn,Cetirizine,435,Loratadine,405,178,356,2017,5,2017-05
Spring,Losartan,300,Telmisartan,339,757,110,2016,12,2016-12
Winter,Paracetamol,125,Ibuprofen,111,892,163,2018,9,2018-09
Summer,Cetirizine,349,Loratadine,385,193,531,2010,10,2010-10
Spring,Insulin,385,Glipizide,400,500,246,2011,5,2011-05
Autumn,Salbutamol,382,Terbutaline,408,972,740,2014,4,2014-04
Monsoon,Metformin,139,Glimepiride,132,710,234,2022,10,2022-10
Autumn,Insulin,210,Glipizide,190,429,522,2023,2,2023-02
Autumn,Losartan,309,Telmisartan,276,457,750,2022,6,2022-06
Spring,Amoxicillin,162,Azithromycin,169,689,322,2020,10,2020-10
Winter,Cetirizine,61,Loratadine,21,765,108,2014,12,2014-12
Winter,Amoxicillin,360,Azithromycin,312,191,168,2017,1,2017-01
Summer,Losartan,186,Telmisartan,163,843,355,2018,12,2018-12
Summer,Omeprazole,246,Pantoprazole,262,246,92,2014,7,2014-07
Spring,Amoxicillin,470,Azithromycin,432,792,185,2012,2,2012-02
Monsoon,Insulin,157,Glipizide,144,268,586,2015,10,2015-10
Monsoon,Amoxicillin,179,Azithromycin,225,368,649,2018,2,2018-02
Monsoon,Losartan,487,Telmisartan,495,500,319,2015,7,2015-07
Monsoon,Cetirizine,182,Loratadine,160,365,556,2024,12,2024-12
Autumn,Losartan,334,Telmisartan,293,258,146,2011,2,2011-02
Autumn,Atorvastatin,242,Rosuvastatin,284,298,767,2022,5,2022-05
Autumn,Atorvastatin,321,Rosuvastatin,359,704,677,2012,11,2012-11
Summer,Insulin,130,Glipizide,114,509,345,2022,3,2022-03
Winter,Losartan,126,Telmisartan,170,639,308,2016,1,2016-01
Winter,Cetirizine,291,Loratadine,259,190,115,2019,7,2019-07
Autumn,Levothyroxine,64,Liothyronine,81,957,109,2011,5,2011-05
Spring,Salbutamol,357,Terbutaline,351,802,626,2014,11,2014-11
Monsoon,Salbutamol,54,Terbutaline,24,361,358,2016,11,2016-11
Monsoon,Metformin,400,Glimepiride,380,915,231,2022,11,2022-11
Monsoon,Salbutamol,50,Terbutaline,70,144,310,2020,1,2020-01
Autumn,Levothyroxine,251,Liothyronine,241,412,265,2022,5,2022-05
Summer,Levothyroxine,238,Liothyronine,276,452,485,2024,4,2024-04
Summer,Cetirizine,80,Loratadine,129,732,327,2013,9,2013-09
Winter,Cetirizine,445,Loratadine,396,828,371,2013,12,2013-12
Monsoon,Losartan,104,Telmisartan,152,766,793,2011,7,2011-07
Winter,Cetirizine,53,Loratadine,103,704,314,2018,4,2018-04
Summer,Levothyroxine,86,Liothyronine,93,227,444,2016,5,2016-05
Winter,Salbutamol,468,Terbutaline,509,315,226,2015,10,2015-10
Summer,Atorvastatin,147,Rosuvastatin,185,818,401,2014,11,2014-11
Monsoon,Levothyroxine,274,Liothyronine,306,987,287,2022,9,2022-09
Winter,Metformin,393,Glimepiride,375,985,751,2020,5,2020-05
Monsoon,Omeprazole,368,Pantoprazole,384,874,441,2013,6,2013-06
Winter,Salbutamol,290,Terbutaline,276,574,561,2017,1,2017-01
Spring,Levothyroxine,152,Liothyronine,114,306,416,2015,5,2015-05
Monsoon,Losartan,433,Telmisartan,461,565,549,2023,5,2023-05
Spring,Cetirizine,219,Loratadine,187,526,109,2013,1,2013-01
Winter,Insulin,179,Glipizide,205,954,204,2013,11,2013-11
Winter,Atorvastatin,238,Rosuvastatin,219,236,539,2018,2,2018-02
Winter,Paracetamol,135,Ibuprofen,170,408,537,2011,2,2011-02
Winter,Salbutamol,119,Terbutaline,103,151,316,2022,1,2022-01
Monsoon,Amoxicillin,299,Azithromycin,346,356,281,2012,10,2012-10
Spring,Cetirizine,315,Loratadine,280,590,161,2013,6,2013-06
Monsoon,Levothyroxine,467,Liothyronine,430,536,611,2014,8,2014-08
Winter,Metformin,73,Glimepiride,102,253,233,2015,5,2015-05
Autumn,Salbutamol,126,Terbutaline,96,350,84,2014,6,2014-06
Summer,Amoxicillin,396,Azithromycin,376,628,228,2019,1,2019-01
Monsoon,Atorvastatin,358,Rosuvastatin,376,205,624,2011,5,2011-05
Summer,Salbutamol,90,Terbutaline,65,605,677,2016,4,2016-04
Summer,Omeprazole,274,Pantoprazole,252,999,800,2016,9,2016-09
Autumn,Levothyroxine,436,Liothyronine,441,357,466,2010,9,2010-09
Monsoon,Amoxicillin,495,Azithromycin,449,969,666,2013,10,2013-10
Summer,Levothyroxine,305,Liothyronine,272,805,551,2019,6,2019-06
Summer,Paracetamol,64,Ibuprofen,33,180,427,2015,4,2015-04
Summer,Losartan,441,Telmisartan,421,445,205,2021,8,2021-08
Spring,Paracetamol,391,Ibuprofen,415,263,465,2013,1,2013-01
Winter,Levothyroxine,401,Liothyronine,427,924,352,2012,3,2012-03
Monsoon,Insulin,72,Glipizide,44,359,66,2015,2,2015-02
Summer,Atorvastatin,454,Rosuvastatin,478,618,613,2019,2,2019-02
Monsoon,Amoxicillin,91,Azithromycin,105,167,179,2021,6,2021-06
Monsoon,Amoxicillin,445,Azithromycin,396,364,658,2022,4,2022-04
Autumn,Atorvastatin,405,Rosuvastatin,364,680,423,2024,7,2024-07
Spring,Salbutamol,365,Terbutaline,347,188,152,2011,2,2011-02
Spring,Omeprazole,355,Pantoprazole,400,730,727,2017,2,2017-02
Spring,Paracetamol,460,Ibuprofen,435,917,106,2019,5,2019-05
Autumn,Metformin,194,Glimepiride,184,783,544,2010,1,2010-01
Summer,Amoxicillin,84,Azithromycin,34,588,672,2012,9,2012-09
Spring,Salbutamol,91,Terbutaline,97,426,151,2022,10,2022-10
Summer,Amoxicillin,422,Azithromycin,428,969,569,2023,5,2023-05
Summer,Cetirizine,229,Loratadine,196,738,199,2011,4,2011-04
Winter,Amoxicillin,113,Azithromycin,85,657,225,2015,12,2015-12
Summer,Losartan,364,Telmisartan,314,153,214,2010,10,2010-10
Autumn,Salbutamol,479,Terbutaline,442,899,231,2022,4,2022-04
Autumn,Atorvastatin,58,Rosuvastatin,9,790,490,2012,7,2012-07
Summer,Omeprazole,161,Pantoprazole,139,287,749,2020,5,2020-05
Spring,Losartan,407,Telmisartan,391,950,332,2021,7,2021-07
Monsoon,Losartan,276,Telmisartan,291,241,554,2024,10,2024-10
Spring,Metformin,125,Glimepiride,145,586,675,2017,11,2017-11
Autumn,Levothyroxine,100,Liothyronine,121,588,288,2017,8,2017-08
Summer,Insulin,326,Glipizide,287,408,174,2014,2,2014-02
Winter,Omeprazole,329,Pantoprazole,375,279,751,2020,9,2020-09
Spring,Cetirizine,440,Loratadine,430,731,443,2015,3,2015-03
Spring,Salbutamol,423,Terbutaline,410,955,651,2015,7,2015-07
Summer,Cetirizine,183,Loratadine,163,596,235,2020,2,2020-02
Winter,Losartan,442,Telmisartan,476,306,350,2015,12,2015-12
Spring,Omeprazole,208,Pantoprazole,250,423,742,2024,12,2024-12
Autumn,Salbutamol,286,Terbutaline,266,851,738,2021,10,2021-10
Monsoon,Omeprazole,119,Pantoprazole,136,747,417,2019,4,2019-04
Winter,Cetirizine,495,Loratadine,542,510,121,2024,4,2024-04
Autumn,Paracetamol,162,Ibuprofen,202,719,129,2013,2,2013-02
Winter,Losartan,104,Telmisartan,118,154,736,2023,5,2023-05
Autumn,Paracetamol,491,Ibuprofen,456,722,697,2022,2,2022-02
Autumn,Insulin,148,Glipizide,126,671,355,2010,4,2010-04
Summer,Losartan,317,Telmisartan,273,197,493,2010,1,2010-01
Spring,Cetirizine,489,Loratadine,480,589,575,2019,6,2019-06
Summer,Paracetamol,322,Ibuprofen,353,211,136,2011,7,2011-07
Spring,Salbutamol,369,Terbutaline,346,902,609,2015,6,2015-06
Summer,Insulin,376,Glipizide,355,846,340,2020,9,2020-09
Summer,Amoxicillin,424,Azithromycin,431,242,744,2010,9,2010-09
Winter,Cetirizine,299,Loratadine,336,581,557,2012,9,2012-09
Autumn,Cetirizine,185,Loratadine,142,533,266,2016,1,2016-01
Summer,Paracetamol,140,Ibuprofen,131,274,745,2020,3,2020-03
Summer,Levothyroxine,364,Liothyronine,314,131,491,2021,1,2021-01
Spring,Insulin,369,Glipizide,404,852,389,2019,5,2019-05
Monsoon,Salbutamol,107,Terbutaline,152,708,122,2014,11,2014-11
Monsoon,Metformin,322,Glimepiride,341,541,625,2012,11,2012-11
Summer,Metformin,349,Glimepiride,360,233,694,2023,8,2023-08
Summer,Metformin,159,Glimepiride,133,469,350,2024,1,2024-01
Summer,Atorvastatin,188,Rosuvastatin,139,471,148,2017,8,2017-08
Summer,Levothyroxine,353,Liothyronine,399,509,414,2023,6,2023-06
Summer,Paracetamol,303,Ibuprofen,287,599,267,2010,5,2010-05
Autumn,Amoxicillin,173,Azithromycin,152,929,300,2018,7,2018-07
Winter,Cetirizine,215,Loratadine,173,986,105,2020,8,2020-08
Spring,Atorvastatin,105,Rosuvastatin,133,717,393,2020,3,2020-03
Winter,Cetirizine,212,Loratadine,183,285,403,2016,1,2016-01
Autumn,Cetirizine,369,Loratadine,401,838,699,2018,11,2018-11
Autumn,Omeprazole,264,Pantoprazole,243,465,135,2015,8,2015-08
Spring,Cetirizine,294,Loratadine,314,106,317,2022,4,2022-04
Autumn,Metformin,199,Glimepiride,213,384,186,2020,1,2020-01
Monsoon,Omeprazole,221,Pantoprazole,232,785,63,2013,12,2013-12
Winter,Salbutamol,90,Terbutaline,110,591,71,2023,8,2023-08
Summer,Metformin,350,Glimepiride,331,174,292,2015,7,2015-07
Autumn,Salbutamol,353,Terbutaline,390,270,357,2014,1,2014-01
Spring,Metformin,356,Glimepiride,320,891,126,2014,7,2014-07
Spring,Insulin,292,Glipizide,307,672,428,2021,7,2021-07
Summer,Cetirizine,130,Loratadine,98,910,704,2018,6,2018-06
Spring,Losartan,489,Telmisartan,496,311,125,2024,7,2024-07
Summer,Paracetamol,331,Ibuprofen,317,515,654,2011,8,2011-08
